"AI_Agent_Moment_Id__c","Demo_Identifier__c","External_ID__c","Interaction_Id__c","Start_Days__c","Start_Time__c"
"c4711dc2-4336-4718-a3c5-eba54ae10a6b","SKYWAVE_PHASE_4_5","cb593f97-6255-4cb1-a8f3-6378b52ad178","a5d1a5a1-afd2-4aaa-a76b-5ed43a1f338f","-6.0","18:01:00"
"c4711dc2-4336-4718-a3c5-eba54ae10a6b","SKYWAVE_PHASE_4_5","bb6e8faa-84b0-4ae8-ab18-bd75b6f8d1fd","7f8e0c6a-cdd1-4c8a-a7ac-26269b25655c","-6.0","18:01:51"
"777814b0-cbf1-4954-a7bf-34eb9a950a7d","SKYWAVE_PHASE_4_5","aeea73a5-2ae8-4f73-a8cd-83c76f9dd7ee","e2074bd2-b8ce-44d9-a24d-8eca827749cd","-4.0","08:24:00"
"777814b0-cbf1-4954-a7bf-34eb9a950a7d","SKYWAVE_PHASE_4_5","6bece1bc-7857-4efa-a4d4-104108778342","75690e61-d8ac-4eb6-a52e-b306ea8573ed","-4.0","08:26:08"
"5c6b0032-8f66-4e26-aafa-62d8e42beba5","SKYWAVE_PHASE_4_5","e572e58d-2602-46c6-a66c-a29e2e193563","99344dd8-6b00-4196-a053-d4930fb42516","-5.0","10:00:00"
"5c6b0032-8f66-4e26-aafa-62d8e42beba5","SKYWAVE_PHASE_4_5","65300e38-5b84-49b6-a1ce-d4f4bce0f2c4","9ccf136f-b2da-423f-a2b0-d5d369aa1d14","-5.0","10:00:53"
"3df7c940-8034-48d9-a93f-6bf430a6afc9","SKYWAVE_PHASE_4_5","8aaaa5f9-ddde-43e0-a1d8-c639d216b403","c226328e-9622-427e-ac45-ba42fd4e9f20","-3.0","19:45:00"
"3df7c940-8034-48d9-a93f-6bf430a6afc9","SKYWAVE_PHASE_4_5","fc2e14bb-16a7-4e9a-a536-98e11576f6ec","980f766b-3c39-474a-a383-3dfee2d7e98f","-3.0","19:45:30"
"ffe09c93-0099-4967-aee4-48f1db6dd223","SKYWAVE_PHASE_4_5","be5b8dc7-a8f1-4a7b-a79a-e0a5ccaa8e48","ffac429f-ea59-4b18-a1da-85c009a37b2f","-3.0","19:46:13"
"ffe09c93-0099-4967-aee4-48f1db6dd223","SKYWAVE_PHASE_4_5","b9054087-880c-49b4-ad61-efb9d59b0473","2845e3a9-f275-4c15-a065-f76875a9f374","-3.0","19:46:32"
