"AI_Agent_Moment_Id__c","AI_Agent_Session_Id__c","AI_Agent_Tag_Definition_Association_Id__c","AI_Agent_Tag_Id__c","Association_Reason__c","Created_Days__c","Created_Time__c","Demo_Identifier__c","External_ID__c"
"83b0fee2-0354-4527-ad2f-02b8440c6750","7e73d629-d8ed-47cc-a52d-f67e92978c3e","1ffdfd0c-70cf-4803-a2e6-ddee39a8c748","2883b794-f6d9-4a0e-aba0-5b86d2c4611e","Intent: Miles Redemption Requests","-7.0","19:00:06","SKYWAVE_PHASE_4_5","dfa3df99-a110-4b23-a080-cf0cf70ec190"
"83b0fee2-0354-4527-ad2f-02b8440c6750","7e73d629-d8ed-47cc-a52d-f67e92978c3e","6f4cb788-6a4e-49fa-af8b-8ad6a3b0de02","40c6f573-42d6-4b9d-a349-a5de3d11ffbe","Quality score 4","-7.0","19:00:06","SKYWAVE_PHASE_4_5","84d035b8-c246-4e22-a69f-2cb6fe3fe02c"
"f25e614b-6af7-4ad2-aa8f-4fe9b6c51a5c","6fca1511-a001-493d-a18e-d900d5c8e35a","1ffdfd0c-70cf-4803-a2e6-ddee39a8c748","2d33fe06-0fb9-4956-a183-1d3bb672ddb7","Intent: Flight Search and Booking","-10.0","14:20:57","SKYWAVE_PHASE_4_5","b6ba9053-7ab1-4007-ab08-5725e409a492"
"f25e614b-6af7-4ad2-aa8f-4fe9b6c51a5c","6fca1511-a001-493d-a18e-d900d5c8e35a","6f4cb788-6a4e-49fa-af8b-8ad6a3b0de02","977bd81d-f2eb-40c7-a021-c4702b7cdf22","Quality score 5","-10.0","14:20:57","SKYWAVE_PHASE_4_5","474bfe31-90aa-4526-a463-98bdaea3a91e"
"6f1a6560-5e73-488f-aeb7-f0ef9ce06dc6","21b39ac1-ef27-46f8-a083-1049716257bf","1ffdfd0c-70cf-4803-a2e6-ddee39a8c748","560e4777-8dfc-4ecd-aa43-643d9c351ac5","Intent: Seat Upgrade Requests","-8.0","15:22:45","SKYWAVE_PHASE_4_5","e5219f6b-2dc9-48bf-a562-25831575e496"
"6f1a6560-5e73-488f-aeb7-f0ef9ce06dc6","21b39ac1-ef27-46f8-a083-1049716257bf","6f4cb788-6a4e-49fa-af8b-8ad6a3b0de02","a07613f1-f4c8-413f-a7ac-d8af0a446e4e","Quality score 1","-8.0","15:22:45","SKYWAVE_PHASE_4_5","4a203ddf-8205-4f37-ab4d-be2f1a0196ed"
"90cecf28-9689-445a-a093-be400eaf90a6","21b39ac1-ef27-46f8-a083-1049716257bf","1ffdfd0c-70cf-4803-a2e6-ddee39a8c748","6bfb174a-8001-4add-abf0-6d381e435574","Intent: Reservation Modifications and Cancellations","-8.0","15:27:08","SKYWAVE_PHASE_4_5","45e59651-bb1f-432a-a449-b698a6155b6e"
"90cecf28-9689-445a-a093-be400eaf90a6","21b39ac1-ef27-46f8-a083-1049716257bf","6f4cb788-6a4e-49fa-af8b-8ad6a3b0de02","977bd81d-f2eb-40c7-a021-c4702b7cdf22","Quality score 5","-8.0","15:27:08","SKYWAVE_PHASE_4_5","bedd3f78-a8bc-4da5-a6da-13e767ed2fd7"
"de36c73c-1884-44cc-a533-6027068ab2df","6f8a4776-f09f-4eec-a78d-296a0dfb2786","1ffdfd0c-70cf-4803-a2e6-ddee39a8c748","33d24820-e5ef-443f-a050-6eb5489180c6","Intent: Tier Status and Benefits","-5.0","14:48:15","SKYWAVE_PHASE_4_5","a997b31a-b182-48e6-ab27-a38fd89816fe"
"de36c73c-1884-44cc-a533-6027068ab2df","6f8a4776-f09f-4eec-a78d-296a0dfb2786","6f4cb788-6a4e-49fa-af8b-8ad6a3b0de02","977bd81d-f2eb-40c7-a021-c4702b7cdf22","Quality score 5","-5.0","14:48:15","SKYWAVE_PHASE_4_5","bf2e0e08-384b-4352-a5b4-6396a7a0859b"
"4fee1f48-8bae-4d42-a4f7-77df29e6dc3e","6f8a4776-f09f-4eec-a78d-296a0dfb2786","1ffdfd0c-70cf-4803-a2e6-ddee39a8c748","981cada7-964f-4af6-a2c5-41f9a73aa021","Intent: Mileage Balance Inquiries","-5.0","14:53:06","SKYWAVE_PHASE_4_5","4ac2e8df-d38b-4aaf-acef-534d90a98df4"
"4fee1f48-8bae-4d42-a4f7-77df29e6dc3e","6f8a4776-f09f-4eec-a78d-296a0dfb2786","6f4cb788-6a4e-49fa-af8b-8ad6a3b0de02","40c6f573-42d6-4b9d-a349-a5de3d11ffbe","Quality score 4","-5.0","14:53:06","SKYWAVE_PHASE_4_5","cd0404b4-f2ea-4963-a723-98a8ba176805"
"1473ff23-0e37-4054-a410-44937ea581cc","73e4f2ed-19eb-4356-a669-55109b437c94","1ffdfd0c-70cf-4803-a2e6-ddee39a8c748","560e4777-8dfc-4ecd-aa43-643d9c351ac5","Intent: Seat Upgrade Requests","-8.0","18:41:56","SKYWAVE_PHASE_4_5","f36af2f2-f672-4fb0-a4a1-df1b9e4fc5d8"
"1473ff23-0e37-4054-a410-44937ea581cc","73e4f2ed-19eb-4356-a669-55109b437c94","6f4cb788-6a4e-49fa-af8b-8ad6a3b0de02","a07613f1-f4c8-413f-a7ac-d8af0a446e4e","Quality score 1","-8.0","18:41:56","SKYWAVE_PHASE_4_5","0ada2f50-d2d3-4f33-a518-b7feab59906c"
"3507571c-a5d7-44e2-af96-8673ee64ef45","ca56d848-cdc7-4125-abcd-71e979196093","1ffdfd0c-70cf-4803-a2e6-ddee39a8c748","2d33fe06-0fb9-4956-a183-1d3bb672ddb7","Intent: Flight Search and Booking","-2.0","10:40:24","SKYWAVE_PHASE_4_5","ba5c08ce-cd70-4388-ac00-5f9130fc9d39"
"3507571c-a5d7-44e2-af96-8673ee64ef45","ca56d848-cdc7-4125-abcd-71e979196093","6f4cb788-6a4e-49fa-af8b-8ad6a3b0de02","977bd81d-f2eb-40c7-a021-c4702b7cdf22","Quality score 5","-2.0","10:40:24","SKYWAVE_PHASE_4_5","a0661339-e751-411c-a0b8-652a631b421a"
"2e1d2f4c-ffdb-4abf-a5cf-db63b925c9df","ca56d848-cdc7-4125-abcd-71e979196093","1ffdfd0c-70cf-4803-a2e6-ddee39a8c748","ac0c4c75-904b-4cbd-a97e-fce7a397945a","Intent: Booking Confirmation Queries","-2.0","10:41:26","SKYWAVE_PHASE_4_5","0ef8e2af-a217-4e67-ac8e-a9dc1b766ed3"
"2e1d2f4c-ffdb-4abf-a5cf-db63b925c9df","ca56d848-cdc7-4125-abcd-71e979196093","6f4cb788-6a4e-49fa-af8b-8ad6a3b0de02","40c6f573-42d6-4b9d-a349-a5de3d11ffbe","Quality score 4","-2.0","10:41:26","SKYWAVE_PHASE_4_5","a948bc94-6544-4a1b-a977-0af01fca132d"
"ac420e1b-fb39-4bb5-a537-c30c75bfb81e","7c4ac7b5-8fda-4aa6-a0ae-11a628fab688","1ffdfd0c-70cf-4803-a2e6-ddee39a8c748","b7100962-8e79-41cb-a1d9-3b96207d2954","Intent: In-Flight Service Complaints","-1.0","14:28:27","SKYWAVE_PHASE_4_5","61e400b6-4ea0-45cb-a1c0-a5178255dfba"
"ac420e1b-fb39-4bb5-a537-c30c75bfb81e","7c4ac7b5-8fda-4aa6-a0ae-11a628fab688","6f4cb788-6a4e-49fa-af8b-8ad6a3b0de02","af9276e0-232c-453b-ab8e-a994f431cbff","Quality score 3","-1.0","14:28:27","SKYWAVE_PHASE_4_5","503c9b1f-66dc-4470-ae12-d5cf1afbf93f"
